expr_val	ids_jan	ids_gte	ids_tcgan
1.74	23876,24124,24241,25152,25600,25858,26350,27174,27182,27489,27928,28033,28325,28365,28453,28914,29000,29441,29477,31508,31587,31989,33534,33871,34673,35736,36535,36749,37062,37127,38455,38626		
1.75	23841,24229,24932,25077,25302,25371,25671,25751,26465,26963,27080,27352,27575,28260,30386,31632,33081,33617,35597,35977,36247,36677,36710,36749,37184,38477		
1.76	24350,24499,24551,25914,25962,27153,28397,28831,28832,29074,29729,30470,30973,31226,34656,34905,35181,35313,35420,36102,36931,37235,37637,38113,38237,38242,38334		
1.77	24470,25165,25339,25462,26030,26140,28853,28968,29456,29853,30468,30620,30938,32360,32365,32448,33857,34967,35132,35171,35305,36870,37024,37133,38633		
1.78	24177,24352,24572,25107,25484,26076,26146,26389,27192,27478,27930,28820,29386,29409,29528,30089,30926,31144,31469,32316,32359,32518,32653,32983,33706,33886,33984,34020,34205,34737,35901,36207,36469,36528,36708,37644,38273,38350,38541,38586		
1.79	24034,24443,24449,25214,25356,25392,26581,26603,27414,28003,28732,29062,29629,30000,30502,30649,31092,31646,31741,33557,34510,34539,34590,34625,35291,35340,35341,35414,35665,36476,36769,38158,38238,38409,38535		
1.8	24902,25361,25694,25696,26314,27629,27707,27910,27950,27975,28053,28222,28238,28915,29279,29864,31246,31773,31879,31958,31965,32958,33174,33673,34186,34720,35026,35481,36574,36699,36715,36945,37293,37669,38649		
1.81	24163,24184,24214,25158,25448,25804,25847,26073,26541,27205,27299,28811,29171,29270,30280,31214,32323,32356,32364,32433,32935,33264,33318,34896,35798,36399,36449,36686,37178,37798,37865,38173,38437,38495		
1.82	24750,24975,25030,25082,25195,25345,25397,25536,25819,25910,26243,26432,27344,27447,27601,27839,28466,28545,29387,30263,30842,31247,31702,32919,33339,33861,34184,35930,36332,36338,36443,36479,37195,37582,37836,37842,38128,38361,38531,38548		
1.83	24879,25677,26242,26314,26600,27225,28017,29431,29502,29599,31689,32213,33101,34497,35741,35803,36277,36372,36411,36596,36691,36868,37350,38279		
1.84	24058,24553,25725,26956,27840,27950,27955,27960,28172,28683,28930,29277,29547,30259,30340,30576,31569,32300,32509,32650,33514,33672,34179,34299,34663,35207,35406,35786,36639,37029,37194,37208,37654,38648		
1.85	23910,24569,24877,25073,26344,27187,27986,28187,28694,28752,29072,30361,30525,30702,31581,31941,32176,32259,32320,32421,32754,32858,33377,34202,34277,35148,35297,35387,36166,37043,37989,38349		
1.86	24123,26011,27080,27425,28084,28561,28697,28783,28822,28860,29626,29983,30245,30426,30498,30708,30772,31433,32209,32321,32621,33024,33771,33800,34113,34114,34191,34591,34630,34976,35424,35661,36283,36611,37638,37674		
1.87	23973,24219,24326,24427,25040,25353,25563,26154,26227,26667,27019,27669,29183,29211,29276,29282,29964,30074,31069,31527,32307,32326,32562,32621,32648,36764,37719,37922		
1.8800000000000001	24035,24449,24450,25039,25476,25631,26069,26407,27221,27296,27664,28198,28411,28976,29945,30259,30318,30348,31568,31991,32065,32118,32335,32389,33462,33542,34403,35716,37385,37676,38323,38470		
1.8900000000000001	24601,24737,25149,25336,25733,25817,26048,26148,26266,26607,26662,26782,26967,27069,27130,27748,28261,28976,30185,30293,31071,31613,31749,31887,32121,33535,34309,36430,36711		
1.9000000000000001	24115,24206,24803,24921,25598,25995,26288,26597,27384,28072,28447,28762,28795,28850,28979,29396,29924,29928,30976,31742,32331,32642,33094,34648,34844,34985,35112,35293,35748,37206,38031,38361		
1.9100000000000001	23742,24264,24283,25320,25836,26308,26828,27104,28157,28353,28475,29489,29836,30182,30594,31031,31349,31489,32022,32349,32645,32963,35081,35438,36448,36533,36559,36698,36710,36759,37063,37841,38117,38137,38174		
1.92	23924,24179,25010,25301,25369,25885,26519,26798,26840,26874,27127,27288,27416,28075,28139,28527,28613,28882,28991,29017,29783,30247,31981,32341,32356,32641,32959,33317,33450,33971,34615,36505,36729,37501,37634,37834,38267		
1.93	24207,25035,25525,25826,26539,26624,27603,28000,28344,28548,29559,29704,30429,30466,30775,31090,31789,32060,33482,33683,33812,34718,35226,35275,35727,36112,36420,36588,37887,38583,38658		
1.94	23733,24534,24747,24923,24966,25054,25248,25369,25712,25769,25824,25959,26358,27195,27682,27889,27962,28409,28784,28894,29427,29746,29865,30004,30485,30563,30803,31729,32353,33781,35290,36248,36433,36523,36924,37099,37131,37315,37843,38085		
1.95	24061,24525,25157,27943,28901,28930,29432,29532,30166,31079,31599,31897,32067,32197,32314,32315,32344,32361,32374,32579,32628,34151,34526,34557,35031,35141,35146,37533,37723,37846,37996		
1.96	23877,23879,24314,24776,25950,26234,27265,27381,27718,27749,28403,28554,28589,28620,29324,29603,29758,29941,29960,29972,30270,30440,31540,31720,31956,32043,33275,33365,33385,33905,34223,34734,34787,34927,35668,36682,37229,38189,38274,38677		
1.97	23872,24020,24145,24535,24775,24910,25117,25120,25333,25729,26077,26206,26312,26667,26971,26987,27350,27634,27910,28216,28611,28639,28745,29442,29767,30131,30276,30337,30795,31095,31953,32520,32780,33291,33804,34026,34480,34948,35716,36068,36217,36534,36542,36864,38230,38665		
1.98	23772,24140,24815,25583,26049,26663,27270,27279,27387,28400,28608,29410,29707,29922,30117,30612,31184,31272,31642,32000,32009,32095,32132,32572,33073,33315,33962,34331,34691,34835,35689,35992,36324,36395,37464,37782,38368,38414,38503		
1.99	23848,24262,24365,24928,25297,26411,27156,27908,27969,29120,29303,29439,30130,30862,31578,31643,32093,32214,32235,32275,32644,33076,33788,34215,34868,35597,36208,36282,36577,37487,37515,37928,38374,38599		
2.0	24365,25261,26088,26296,26692,28024,28490,28734,31135,31524,31592,33386,33883,33903,34131,34634,34717,35113,35117,36497,36726,37241,38242,38292		
